35,111	51,16	0,0 51,0 0,16 51,16
159,135	59,29	0,0 59,0 0,29 59,29
72,56	51,10	0,0 0,0 0,0 51,0 0,10 0,10 0,10 51,10
96,173	10,17	0,0 0,0 0,0 10,0 0,0 0,0 0,0 10,0 0,0 0,0 0,0 10,0 0,17 0,17 0,17 10,17
40,159	38,17	0,0 38,0 0,0 38,0 0,17 38,17
152,17	14,30	0,0 14,0 0,30 14,30
166,83	17,41	0,0 17,0 0,41 17,41
137,140	58,18	0,0 0,0 58,0 0,18 0,18 58,18
30,102	24,27	0,0 24,0 0,27 24,27
40,48	32,29	0,0 32,0 0,29 32,29
71,74	35,22	0,0 0,0 0,0 35,0 0,0 0,0 0,0 35,0 0,22 0,22 0,22 35,22
58,31	18,10	0,0 18,0 0,0 18,0 0,0 18,0 0,10 18,10
133,9	40,46	0,0 40,0 0,0 40,0 0,0 40,0 0,46 40,46
85,24	25,26	0,0 25,0 0,26 25,26
151,62	18,37	0,0 18,0 0,37 18,37
200,87	12,40	0,0 12,0 0,40 12,40
178,38	26,32	0,0 26,0 0,32 26,32
45,178	31,24	0,0 31,0 0,0 31,0 0,24 31,24
198,112	21,22	0,0 21,0 0,22 21,22
154,169	24,21	0,0 0,0 0,0 24,0 0,21 0,21 0,21 24,21
125,160	14,21	0,0 14,0 0,21 14,21
56,88	10,41	0,0 10,0 0,0 10,0 0,41 10,41
23,173	13,17	0,0 13,0 0,17 13,17
129,75	12,11	0,0 12,0 0,0 12,0 0,11 12,11
34,156	53,11	0,0 0,0 0,0 53,0 0,0 0,0 0,0 53,0 0,11 0,11 0,11 53,11
6,15	16,19	0,0 16,0 0,19 16,19
191,101	19,12	0,0 19,0 0,12 19,12
120,138	12,13	0,0 0,0 12,0 0,0 0,0 12,0 0,0 0,0 12,0 0,13 0,13 12,13
171,192	22,10	0,0 22,0 0,10 22,10
8,138	16,34	0,0 0,0 0,0 16,0 0,0 0,0 0,0 16,0 0,0 0,0 0,0 16,0 0,34 0,34 0,34 16,34
