113,68	27,37	0,0 27,0 0,0 27,0 0,37 27,37
181,143	57,37	0,0 57,0 0,0 57,0 0,37 57,37
97,30	51,25	0,0 0,0 51,0 0,25 0,25 51,25
218,230	16,31	0,0 16,0 0,0 16,0 0,0 16,0 0,31 16,31
65,114	19,47	0,0 0,0 0,0 19,0 0,47 0,47 0,47 19,47
244,198	18,26	0,0 0,0 0,0 18,0 0,26 0,26 0,26 18,26
67,199	49,11	0,0 0,0 49,0 0,0 0,0 49,0 0,0 0,0 49,0 0,11 0,11 49,11
198,116	24,45	0,0 24,0 0,45 24,45
202,136	52,11	0,0 52,0 0,11 52,11
21,178	29,21	0,0 29,0 0,21 29,21
107,231	55,19	0,0 0,0 0,0 55,0 0,0 0,0 0,0 55,0 0,19 0,19 0,19 55,19
191,19	13,11	0,0 0,0 13,0 0,11 0,11 13,11
134,211	17,27	0,0 17,0 0,27 17,27
16,216	10,14	0,0 10,0 0,14 10,14
210,76	27,29	0,0 27,0 0,0 27,0 0,29 27,29
107,172	55,14	0,0 0,0 0,0 55,0 0,14 0,14 0,14 55,14
33,40	13,35	0,0 0,0 0,0 13,0 0,0 0,0 0,0 13,0 0,0 0,0 0,0 13,0 0,35 0,35 0,35 13,35
118,56	50,31	0,0 50,0 0,0 50,0 0,0 50,0 0,31 50,31
241,7	31,55	0,0 31,0 0,55 31,55
155,205	26,13	0,0 0,0 0,0 26,0 0,13 0,13 0,13 26,13
36,54	11,58	0,0 11,0 0,0 11,0 0,0 11,0 0,58 11,58
60,154	37,38	0,0 37,0 0,38 37,38
196,193	44,50	0,0 0,0 44,0 0,50 0,50 44,50
43,214	10,10	0,0 10,0 0,10 10,10
242,232	30,18	0,0 30,0 0,0 30,0 0,18 30,18
73,180	36,31	0,0 36,0 0,31 36,31
188,246	13,27	0,0 13,0 0,27 13,27
84,228	18,12	0,0 0,0 18,0 0,12 0,12 18,12
121,25	54,19	0,0 0,0 0,0 54,0 0,19 0,19 0,19 54,19
43,133	10,12	0,0 10,0 0,12 10,12
15,129	23,12	0,0 23,0 0,12 23,12
57,198	44,16	0,0 44,0 0,16 44,16
55,132	16,34	0,0 0,0 0,0 16,0 0,34 0,34 0,34 16,34
201,54	43,20	0,0 43,0 0,0 43,0 0,20 43,20
183,212	10,41	0,0 10,0 0,41 10,41
8,14	12,14	0,0 12,0 0,0 12,0 0,14 12,14
